mass	central	bTag	JES	lepton	PDF	pileUp	QCD	Trigger	
800	0.048	1.067	1.006	1.085	1.041	1.017	1.026	1.003	
1000	0.077	1.074	1.001	1.094	1.042	1.003	1.039	1.003	
1200	0.085	1.078	1.003	1.096	1.045	1.008	1.049	1.003	
1400	0.089	1.082	1.010	1.098	1.046	1.006	1.058	1.003	
1600	0.083	1.084	1.015	1.098	1.048	1.002	1.066	1.003	
1800	0.081	1.087	1.017	1.093	1.048	1.006	1.072	1.003	
2000	0.081	1.089	1.023	1.092	1.056	1.003	1.079	1.003	
2500	0.064	1.091	1.038	1.089	1.065	1.018	1.094	1.003	
3000	0.050	1.093	1.037	1.087	1.078	1.004	1.107	1.003	
3500	0.041	1.094	1.054	1.087	1.097	1.008	1.118	1.002	
4000	0.031	1.095	1.037	1.081	1.130	1.007	1.130	1.002	
