mass	central	bTag	JES	lepton	PDF	pileUp	QCD	Trigger	
800	0.040	1.068	1.008	1.010	1.038	1.008	1.026	-	
1000	0.061	1.074	1.011	1.009	1.042	1.004	1.038	-	
1200	0.073	1.078	1.014	1.009	1.043	1.015	1.048	-	
1400	0.076	1.082	1.014	1.009	1.048	1.012	1.057	-	
1600	0.072	1.084	1.011	1.008	1.049	1.007	1.064	-	
1800	0.071	1.087	1.022	1.008	1.051	1.012	1.072	-	
2000	0.071	1.089	1.029	1.008	1.055	1.009	1.079	-	
2500	0.056	1.092	1.036	1.008	1.066	1.002	1.094	-	
3000	0.044	1.093	1.043	1.008	1.081	1.007	1.107	-	
3500	0.034	1.094	1.043	1.008	1.100	1.017	1.118	-	
4000	0.028	1.095	1.050	1.007	1.131	1.003	1.129	-	
